Request Text,Response Policy
"Grant user user@example.com the Storage Object Viewer role, and also give user user@example.com the Storage Object Viewer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/secretmanager.secretAccessor"""",
      """"members"""": [
        """"group:data-team@example.com""""
      ]
    },
    {
      """"role"""": """"roles/cloudfunctions.admin"""",
      """"members"""": [
        """"group:data-team@example.com""""
      ]
    }
  ]
}"
"I need a policy that allows service account app-processor@analytics-project.iam.gserviceaccount.com to administer Kubernetes clusters in the project prod-project","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.admin"""",
      """"members"""": [
        """"service_account:app-processor@analytics-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Create a policy where user user@example.com and user user@example.com both have the Dataflow Admin role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/dataflow.admin"""",
      """"members"""": [
        """"user:data-team@cloud.google.com""""
      ]
    },
    {
      """"role"""": """"roles/cloudsql.client"""",
      """"members"""": [
        """"user:data-team@cloud.google.com""""
      ]
    }
  ]
}"
"I need a policy that allows user monitoring-user@my-org.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudfunctions.viewer"""",
      """"members"""": [
        """"user:monitoring-user@my-org.com"""",
        """"group:admin-team@my-org.com""""
      ]
    }
  ]
}"
"Create a policy where group security-team@example.com has the Run Viewer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/run.viewer"""",
      """"members"""": [
        """"group:security-team@example.com""""
      ]
    }
  ]
}"
"The service account admin-sa@monitoring-project.iam.gserviceaccount.com needs Aiplatform Trainer to perform Aiplatform Trainer operations. This access should expire on 2025-09-20","{
  """"bindings"""": [
    {
      """"role"""": """"roles/aiplatform.trainer"""",
      """"members"""": [
        """"service_account:admin-sa@monitoring-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2025-09-20"""",
        """"expression"""": """"request.time < timestamp('2025-09-21T00:00:00.000Z')""""
      }
    }
  ]
}"
"Generate a policy binding that will grant user (admin-team@my-org.com) with the Dataflow Developer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/dataflow.developer"""",
      """"members"""": [
        """"user:admin-team@my-org.com""""
      ]
    }
  ]
}"
"Our analytics team, represented by service account keyring-manager@data-project.iam.gserviceaccount.com, needs Storage Object Viewer and Storage Object Viewer roles across all projects within the organization","{
  """"bindings"""": [
    {
      """"role"""": """"roles/dataflow.viewer"""",
      """"members"""": [
        """"service_account:keyring-manager@data-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/resourcemanager.projectCreator"""",
      """"members"""": [
        """"service_account:keyring-manager@data-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/dataflow.worker"""",
      """"members"""": [
        """"service_account:keyring-manager@data-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I want a policy such that service account data-agent@data-project.iam.gserviceaccount.com has the role roles/dataflow.developer. Make this access expire on 2027-08-24","{
  """"bindings"""": [
    {
      """"role"""": """"roles/dataflow.developer"""",
      """"members"""": [
        """"service_account:data-agent@data-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2027-08-24"""",
        """"expression"""": """"request.time < timestamp('2027-08-25T00:00:00.000Z')""""
      }
    }
  ]
}"
"The user dev-team@my-org.com requires access to Storage Object Viewer, Storage Object Viewer, and Storage Object Viewer. This access should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/monitoring.admin"""",
      """"members"""": [
        """"user:dev-team@my-org.com""""
      ]
    }
  ]
}"
"I need a policy that allows user cloud-ops@my-org.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/iam.securityReviewer"""",
      """"members"""": [
        """"user:cloud-ops@my-org.com""""
      ]
    },
    {
      """"role"""": """"roles/storage.objectViewer"""",
      """"members"""": [
        """"user:cloud-ops@my-org.com""""
      ]
    }
  ]
}"
"Create a policy where user database-operator@example.com and service account cluster-manager@analytics-project.iam.gserviceaccount.com both have the Bigquery Jobuser role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.jobUser"""",
      """"members"""": [
        """"user:database-operator@example.com"""",
        """"service_account:cluster-manager@analytics-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy for service account app-service@dev-project.iam.gserviceaccount.com to have Cloudfunctions Developer access, with expiration on 2027-08-30","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudfunctions.developer"""",
      """"members"""": [
        """"service_account:app-service@dev-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2027-08-30"""",
        """"expression"""": """"request.time < timestamp('2027-08-31T00:00:00.000Z')""""
      }
    }
  ]
}"
"Give user job-admin@cloud.google.com the Dataflow Developer role (roles/dataflow.developer) so they can develop Dataflow jobs","{
  """"bindings"""": [
    {
      """"role"""": """"roles/dataflow.developer"""",
      """"members"""": [
        """"user:job-admin@cloud.google.com""""
      ]
    }
  ]
}"
"For our AI testing platform, service account cloud-service@my-project.iam.gserviceaccount.com needs Dataflow Admin, and group ops-team@my-org.com needs Custom Role. Both should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/dataflow.admin"""",
      """"members"""": [
        """"service_account:cloud-service@my-project.iam.gserviceaccount.com"""",
        """"group:ops-team@my-org.com"""",
        """"group:data-team@my-org.com""""
      ]
    }
  ]
}"
"Create a policy where user function-operator@my-org.com has the Container Admin role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.admin"""",
      """"members"""": [
        """"user:function-operator@my-org.com""""
      ]
    }
  ]
}"
"I need a policy that allows user app-dev@cloud.google.com to administer Kubernetes clusters in the project dev-project","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.admin"""",
      """"members"""": [
        """"user:app-dev@cloud.google.com""""
      ]
    }
  ]
}"
"The user data-team@cloud.google.com needs Monitoring Metricwriter to perform Monitoring Metricwriter operations. This access should expire on 2025-08-27","{
  """"bindings"""": [
    {
      """"role"""": """"roles/monitoring.metricWriter"""",
      """"members"""": [
        """"user:data-team@cloud.google.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2025-08-27"""",
        """"expression"""": """"request.time < timestamp('2025-08-28T00:00:00.000Z')""""
      }
    }
  ]
}"
"I need a policy that allows user dev-team@my-org.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/compute.instanceAdmin"""",
      """"members"""": [
        """"user:dev-team@my-org.com""""
      ]
    },
    {
      """"role"""": """"roles/cloudsql.viewer"""",
      """"members"""": [
        """"user:dev-team@my-org.com""""
      ]
    },
    {
      """"role"""": """"roles/monitoring.viewer"""",
      """"members"""": [
        """"user:dev-team@my-org.com""""
      ]
    }
  ]
}"
"I need a policy for user user@example.com to have Storage Object Viewer and user user@example.com to have Storage Object Viewer. The first role should expire on 2026-11-16, and the second on 2026-12-16","{
  """"bindings"""": [
    {
      """"role"""": """"roles/monitoring.admin"""",
      """"members"""": [
        """"user:app-ops@my-org.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2026-11-16"""",
        """"expression"""": """"request.time < timestamp('2026-11-17T00:00:00.000Z')""""
      }
    }
  ]
}"
"For our development environment, service account bucket-operator@monitoring-project.iam.gserviceaccount.com needs Cloudfunctions Viewer, and user data-admin@example.com needs Custom Role. Both should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudfunctions.viewer"""",
      """"members"""": [
        """"service_account:bucket-operator@monitoring-project.iam.gserviceaccount.com"""",
        """"user:data-admin@example.com"""",
        """"user:app-admin@my-org.com""""
      ]
    }
  ]
}"
"I need a policy that allows service account cloud-processor@my-project.iam.gserviceaccount.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/editor"""",
      """"members"""": [
        """"service_account:cloud-processor@my-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/appengine.appAdmin"""",
      """"members"""": [
        """"service_account:cloud-processor@my-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Grant user instance-admin@my-org.com the Cloudfunctions Viewer role, and also give service account data-processor@gke-project.iam.gserviceaccount.com the Custom Role role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudfunctions.viewer"""",
      """"members"""": [
        """"user:instance-admin@my-org.com"""",
        """"service_account:data-processor@gke-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"For our AI testing platform, user user@example.com needs Storage Object Viewer, and user user@example.com needs Storage Object Viewer. Both should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/appengine.serviceAdmin"""",
      """"members"""": [
        """"group:dev-team@example.com""""
      ]
    },
    {
      """"role"""": """"roles/bigquery.dataViewer"""",
      """"members"""": [
        """"group:dev-team@example.com""""
      ]
    }
  ]
}"
"The service account ml-sa@dev-project.iam.gserviceaccount.com needs Appengine Deployer to deploy applications to App Engine. This access should expire on 2027-05-14","{
  """"bindings"""": [
    {
      """"role"""": """"roles/appengine.deployer"""",
      """"members"""": [
        """"service_account:ml-sa@dev-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2027-05-14"""",
        """"expression"""": """"request.time < timestamp('2027-05-15T00:00:00.000Z')""""
      }
    }
  ]
}"
"I need a policy for group data-team@my-org.com to have Appengine Serviceadmin access, with expiration on 2026-09-10","{
  """"bindings"""": [
    {
      """"role"""": """"roles/appengine.serviceAdmin"""",
      """"members"""": [
        """"group:data-team@my-org.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2026-09-10"""",
        """"expression"""": """"request.time < timestamp('2026-09-11T00:00:00.000Z')""""
      }
    }
  ]
}"
"Create a policy where user user@example.com and user user@example.com both have the Container Developer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.developer"""",
      """"members"""": [
        """"user:ops-team@example.com""""
      ]
    },
    {
      """"role"""": """"roles/resourcemanager.organizationAdmin"""",
      """"members"""": [
        """"user:ops-team@example.com""""
      ]
    },
    {
      """"role"""": """"roles/cloudkms.cryptoKeyEncrypterDecrypter"""",
      """"members"""": [
        """"user:ops-team@example.com""""
      ]
    }
  ]
}"
"For our cloud infrastructure, user user@example.com needs Storage Object Viewer, and user user@example.com needs Storage Object Viewer. Both should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/appengine.deployer"""",
      """"members"""": [
        """"service_account:data-processor@prod-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/appengine.deployer"""",
      """"members"""": [
        """"service_account:data-processor@prod-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Create a policy where user data-dev@my-org.com has the Aiplatform Modeluser role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/aiplatform.modelUser"""",
      """"members"""": [
        """"user:data-dev@my-org.com""""
      ]
    }
  ]
}"
"The service account bucket-admin@dev-project.iam.gserviceaccount.com needs Bigquery Jobuser to perform Bigquery Jobuser operations. This access should expire on 2025-09-27","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.jobUser"""",
      """"members"""": [
        """"service_account:bucket-admin@dev-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2025-09-27"""",
        """"expression"""": """"request.time < timestamp('2025-09-28T00:00:00.000Z')""""
      }
    }
  ]
}"
"I need a policy that allows service account database-manager@prod-project.iam.gserviceaccount.com to perform Run Invoker operations in the project analytics-project","{
  """"bindings"""": [
    {
      """"role"""": """"roles/run.invoker"""",
      """"members"""": [
        """"service_account:database-manager@prod-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Our infrastructure team needs a policy that gives user monitoring-user@my-org.com the following permissions: roles/dataflow.admin","{
  """"bindings"""": [
    {
      """"role"""": """"roles/dataflow.admin"""",
      """"members"""": [
        """"user:monitoring-user@my-org.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2026-07-23"""",
        """"expression"""": """"request.time < timestamp('2026-07-24T00:00:00.000Z')""""
      }
    }
  ]
}"
"I need a policy that allows service account dev-sa@dev-project.iam.gserviceaccount.com to perform Secretmanager Secretversionmanager operations in the project ai-project","{
  """"bindings"""": [
    {
      """"role"""": """"roles/secretmanager.secretVersionManager"""",
      """"members"""": [
        """"service_account:dev-sa@dev-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy that allows user data-team@example.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/storage.objectViewer"""",
      """"members"""": [
        """"user:data-team@example.com"""",
        """"service_account:keyring-admin@prod-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Create a policy where service account network-sa@analytics-project.iam.gserviceaccount.com has the Aiplatform Modeluser role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/aiplatform.modelUser"""",
      """"members"""": [
        """"service_account:network-sa@analytics-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Create a policy where service account app-agent@gke-project.iam.gserviceaccount.com has the Container Developer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.developer"""",
      """"members"""": [
        """"service_account:app-agent@gke-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Generate a policy binding that will grant service account (data-sa@gke-project.iam.gserviceaccount.com) with the Cloudfunctions Viewer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudfunctions.viewer"""",
      """"members"""": [
        """"service_account:data-sa@gke-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Generate a policy binding that will grant group (ops-team@example.com) with the Appengine Appviewer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/appengine.appViewer"""",
      """"members"""": [
        """"group:ops-team@example.com""""
      ]
    }
  ]
}"
"Give group security-team@example.com the Container Admin role (roles/container.admin) so they can administer Kubernetes clusters","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.admin"""",
      """"members"""": [
        """"group:security-team@example.com""""
      ]
    }
  ]
}"
"Generate a policy binding that will grant user (cloud-ops@example.com) with the Logging Viewer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/logging.viewer"""",
      """"members"""": [
        """"user:cloud-ops@example.com""""
      ]
    }
  ]
}"
"For our cloud infrastructure, user instance-operator@example.com needs Compute Networkadmin, and service account function-operator@prod-project.iam.gserviceaccount.com needs Custom Role. Both should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/compute.networkAdmin"""",
      """"members"""": [
        """"user:instance-operator@example.com"""",
        """"service_account:function-operator@prod-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy that allows service account admin-sa@gke-project.iam.gserviceaccount.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/secretmanager.viewer"""",
      """"members"""": [
        """"service_account:admin-sa@gke-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/run.invoker"""",
      """"members"""": [
        """"service_account:admin-sa@gke-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"The service account cloud-service@prod-project.iam.gserviceaccount.com requires access to Storage Object Viewer, Storage Object Viewer, and Storage Object Viewer. This access should expire on 2026-12-23","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudfunctions.viewer"""",
      """"members"""": [
        """"service_account:cloud-service@prod-project.iam.gserviceaccount.com"""",
        """"group:dev-team@example.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2026-12-23"""",
        """"expression"""": """"request.time < timestamp('2026-12-24T00:00:00.000Z')""""
      }
    }
  ]
}"
"For our development environment, user user@example.com needs Storage Object Viewer, and user user@example.com needs Storage Object Viewer. Both should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.jobUser"""",
      """"members"""": [
        """"group:data-team@cloud.google.com""""
      ]
    }
  ]
}"
"Grant user keyring-admin@example.com the Compute Networkadmin role for project data-project, expiring on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/compute.networkAdmin"""",
      """"members"""": [
        """"user:keyring-admin@example.com""""
      ]
    }
  ]
}"
"Create a policy that grants user data-manager@my-org.com access to roles/monitoring.metricWriter","{
  """"bindings"""": [
    {
      """"role"""": """"roles/monitoring.metricWriter"""",
      """"members"""": [
        """"user:data-manager@my-org.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2026-08-09"""",
        """"expression"""": """"request.time < timestamp('2026-08-10T00:00:00.000Z')""""
      }
    }
  ]
}"
"The user admin-team@cloud.google.com requires access to Storage Object Viewer, Storage Object Viewer, and Storage Object Viewer. This access should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.dataViewer"""",
      """"members"""": [
        """"user:admin-team@cloud.google.com""""
      ]
    },
    {
      """"role"""": """"roles/logging.viewer"""",
      """"members"""": [
        """"user:admin-team@cloud.google.com""""
      ]
    }
  ]
}"
"Generate a policy binding that will grant user (cluster-operator@example.com) with the Compute Storageadmin role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/compute.storageAdmin"""",
      """"members"""": [
        """"user:cluster-operator@example.com""""
      ]
    }
  ]
}"
"Give group monitoring-team@cloud.google.com the Container Admin role (roles/container.admin) so they can administer Kubernetes clusters","{
  """"bindings"""": [
    {
      """"role"""": """"roles/container.admin"""",
      """"members"""": [
        """"group:monitoring-team@cloud.google.com""""
      ]
    }
  ]
}"
"The service account admin-sa@analytics-project.iam.gserviceaccount.com needs Cloudfunctions Developer to deploy Cloud Functions. This access should expire on 2025-10-29","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudfunctions.developer"""",
      """"members"""": [
        """"service_account:admin-sa@analytics-project.iam.gserviceaccount.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2025-10-29"""",
        """"expression"""": """"request.time < timestamp('2025-10-30T00:00:00.000Z')""""
      }
    }
  ]
}"
"Grant group ml-team@my-org.com the Resourcemanager Organizationadmin role for project data-project, expiring on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/resourcemanager.organizationAdmin"""",
      """"members"""": [
        """"group:ml-team@my-org.com""""
      ]
    }
  ]
}"
"Grant user user@example.com the Storage Object Viewer role, and also give user user@example.com the Storage Object Viewer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/storage.objectAdmin"""",
      """"members"""": [
        """"service_account:cluster-manager@monitoring-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/run.invoker"""",
      """"members"""": [
        """"service_account:cluster-manager@monitoring-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"The user app-ops@my-org.com requires access to Storage Object Viewer, Storage Object Viewer, and Storage Object Viewer. This access should expire on 2025-12-31","{
  """"bindings"""": [
    {
      """"role"""": """"roles/logging.viewer"""",
      """"members"""": [
        """"user:app-ops@my-org.com""""
      ]
    },
    {
      """"role"""": """"roles/storage.objectAdmin"""",
      """"members"""": [
        """"user:app-ops@my-org.com""""
      ]
    },
    {
      """"role"""": """"roles/aiplatform.admin"""",
      """"members"""": [
        """"user:app-ops@my-org.com""""
      ]
    }
  ]
}"
"I need a policy that allows service account instance-admin@dev-project.iam.gserviceaccount.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/cloudsql.admin"""",
      """"members"""": [
        """"service_account:instance-admin@dev-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/storage.admin"""",
      """"members"""": [
        """"service_account:instance-admin@dev-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/secretmanager.viewer"""",
      """"members"""": [
        """"service_account:instance-admin@dev-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Create a policy where service account app-service@data-project.iam.gserviceaccount.com has the Logging Viewer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/logging.viewer"""",
      """"members"""": [
        """"service_account:app-service@data-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Create a policy where service account app-processor@data-project.iam.gserviceaccount.com has the Bigquery Jobuser role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/bigquery.jobUser"""",
      """"members"""": [
        """"service_account:app-processor@data-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"Create a policy that grants group network-team@example.com access to roles/logging.logWriter","{
  """"bindings"""": [
    {
      """"role"""": """"roles/logging.logWriter"""",
      """"members"""": [
        """"group:network-team@example.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2028-01-17"""",
        """"expression"""": """"request.time < timestamp('2028-01-18T00:00:00.000Z')""""
      }
    }
  ]
}"
"Give user cluster-admin@my-org.com the Iam Securityreviewer role (roles/iam.securityReviewer) so they can perform Iam Securityreviewer operations","{
  """"bindings"""": [
    {
      """"role"""": """"roles/iam.securityReviewer"""",
      """"members"""": [
        """"user:cluster-admin@my-org.com""""
      ]
    }
  ]
}"
"Create a policy where service account keyring-operator@gke-project.iam.gserviceaccount.com has the Run Invoker role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/run.invoker"""",
      """"members"""": [
        """"service_account:keyring-operator@gke-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
"I need a policy that allows user cloud-dev@example.com to have both Storage Object Viewer and Storage Object Viewer roles","{
  """"bindings"""": [
    {
      """"role"""": """"roles/aiplatform.viewer"""",
      """"members"""": [
        """"user:cloud-dev@example.com"""",
        """"user:security-manager@cloud.google.com""""
      ]
    }
  ]
}"
"I need a policy for group network-team@cloud.google.com to have Storage Objectcreator access, with expiration on 2026-09-03","{
  """"bindings"""": [
    {
      """"role"""": """"roles/storage.objectCreator"""",
      """"members"""": [
        """"group:network-team@cloud.google.com""""
      ],
      """"condition"""": {
        """"title"""": """"Expiration Condition"""",
        """"description"""": """"Expires on 2026-09-03"""",
        """"expression"""": """"request.time < timestamp('2026-09-04T00:00:00.000Z')""""
      }
    }
  ]
}"
"Grant user user@example.com the Storage Object Viewer role, and also give user user@example.com the Storage Object Viewer role","{
  """"bindings"""": [
    {
      """"role"""": """"roles/appengine.appAdmin"""",
      """"members"""": [
        """"service_account:ml-sa@prod-project.iam.gserviceaccount.com""""
      ]
    },
    {
      """"role"""": """"roles/storage.objectViewer"""",
      """"members"""": [
        """"service_account:ml-sa@prod-project.iam.gserviceaccount.com""""
      ]
    }
  ]
}"
